PERMNO,date,TICKER,COMNAM,CUSIP,PRC
60871,20140228,ADI,ANALOG DEVICES INC,3265410,50.82
60871,20140331,ADI,ANALOG DEVICES INC,3265410,53.14
60871,20140430,ADI,ANALOG DEVICES INC,3265410,51.29
60871,20140530,ADI,ANALOG DEVICES INC,3265410,52.38
60871,20140630,ADI,ANALOG DEVICES INC,3265410,54.07
60871,20140731,ADI,ANALOG DEVICES INC,3265410,49.63
60871,20140829,ADI,ANALOG DEVICES INC,3265410,51.12
60871,20140930,ADI,ANALOG DEVICES INC,3265410,49.49
60871,20141031,ADI,ANALOG DEVICES INC,3265410,49.62
60871,20141128,ADI,ANALOG DEVICES INC,3265410,54.64
60871,20141231,ADI,ANALOG DEVICES INC,3265410,55.52
60871,20150130,ADI,ANALOG DEVICES INC,3265410,52.105
60871,20150227,ADI,ANALOG DEVICES INC,3265410,58.54
60871,20150331,ADI,ANALOG DEVICES INC,3265410,63
60871,20150430,ADI,ANALOG DEVICES INC,3265410,61.84
60871,20150529,ADI,ANALOG DEVICES INC,3265410,67.96
60871,20150630,ADI,ANALOG DEVICES INC,3265410,64.185
60871,20150731,ADI,ANALOG DEVICES INC,3265410,58.33
60871,20150831,ADI,ANALOG DEVICES INC,3265410,55.86
60871,20150930,ADI,ANALOG DEVICES INC,3265410,56.41
60871,20151030,ADI,ANALOG DEVICES INC,3265410,60.12
60871,20151130,ADI,ANALOG DEVICES INC,3265410,61.63
60871,20151231,ADI,ANALOG DEVICES INC,3265410,55.32
60871,20160129,ADI,ANALOG DEVICES INC,3265410,53.86
60871,20160229,ADI,ANALOG DEVICES INC,3265410,52.99
60871,20160331,ADI,ANALOG DEVICES INC,3265410,59.19
60871,20160429,ADI,ANALOG DEVICES INC,3265410,56.32
60871,20160531,ADI,ANALOG DEVICES INC,3265410,58.5
60871,20160630,ADI,ANALOG DEVICES INC,3265410,56.64
60871,20160729,ADI,ANALOG DEVICES INC,3265410,63.83
60871,20160831,ADI,ANALOG DEVICES INC,3265410,62.56
60871,20160930,ADI,ANALOG DEVICES INC,3265410,64.45
60871,20161031,ADI,ANALOG DEVICES INC,3265410,64.1
60871,20161130,ADI,ANALOG DEVICES INC,3265410,74.24
60871,20161230,ADI,ANALOG DEVICES INC,3265410,72.62
60871,20170131,ADI,ANALOG DEVICES INC,3265410,74.94
60871,20170228,ADI,ANALOG DEVICES INC,3265410,81.93
60871,20170331,ADI,ANALOG DEVICES INC,3265410,81.95
60871,20170428,ADI,ANALOG DEVICES INC,3265410,76.2
60871,20170531,ADI,ANALOG DEVICES INC,3265410,85.76
60871,20170630,ADI,ANALOG DEVICES INC,3265410,77.8
60871,20170731,ADI,ANALOG DEVICES INC,3265410,79.01
60871,20170831,ADI,ANALOG DEVICES INC,3265410,83.67
60871,20170929,ADI,ANALOG DEVICES INC,3265410,86.17
60871,20171031,ADI,ANALOG DEVICES INC,3265410,91.3
